Address,Zip,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
1458 NEWTON ST NW,20010," $691,458 "," $716,458 "," $2,500 ",3,2,1,11/13/2013
3404 13TH ST NW #101,20010," $435,500 "," $435,500 ", $-   ,2,1,0,11/8/2013
812 OTIS PL NW #FLAT 2,20010," $289,900 "," $289,900 "," $2,500 ",1,1,0,11/25/2013
3525 NEW HAMPSHIRE AVE NW,20010," $500,000 "," $399,999 ", $-   ,3,1,1,11/13/2013
3106 PARK PL NW,20010," $546,000 "," $546,000 "," $2,000 ",3,2,1,11/18/2013
3404 13TH ST NW #201,20010," $454,900 "," $460,000 ", $-   ,2,1,0,11/15/2013
3217 WARDER ST NW,20010," $479,900 "," $500,000 ", $-   ,3,2,1,11/19/2013
1360 KENYON ST NW #1,20010," $499,900 "," $510,000 "," $10,000 ",2,2,0,11/26/2013
3543 HERTFORD PL NW,20010," $499,000 "," $465,000 ", $-   ,3,2,0,11/30/2013
3606 ROCK CREEK CHURCH ROAD NW #103,20010," $419,900 "," $415,000 "," $2,000 ",2,2,0,11/18/2013
1768 KILBOURNE PL NW,20010," $849,000 "," $1,050,000 ", $-   ,4,2,1,11/27/2013
5414 1ST PL NW #504,20011," $269,900 "," $265,000 ", $-   ,2,2,0,11/22/2013
1365 KENNEDY ST NW #209,20011," $159,000 "," $155,000 ", $-   ,1,1,0,11/26/2013
38 MILMARSON PL NW,20011," $529,995 "," $525,000 ", $-   ,4,3,1,11/20/2013
5607 NEW HAMPSHIRE AVE NE,20011," $419,999 "," $395,000 ", $-   ,3,3,0,11/8/2013
4901 NEW HAMPSHIRE AVE NW,20011," $519,000 "," $515,000 "," $15,000 ",4,3,1,11/21/2013
5041 1ST ST NW #6,20011," $219,000 "," $215,000 "," $6,450 ",2,1,0,11/1/2013
235 EMERSON ST NW #207,20011," $61,000 "," $59,000 ", $-   ,1,1,0,11/20/2013
614 MADISON ST NW,20011," $549,900 "," $547,000 "," $16,410 ",4,3,1,11/27/2013
